pos,player,AB,R,H,RBI,BB,SO,LOB,opponent
dh,Deja Davis,4,1,2,1,0,0,0,WASHINGTON
2b,Aminah Vega,4,0,1,1,0,0,2,WASHINGTON
1b,Gisele Tapia,3,0,2,0,0,0,0,WASHINGTON
pr,Kelsey Zampa,0,0,0,0,0,0,0,WASHINGTON
c,Kelly Torres,3,0,1,0,0,1,0,WASHINGTON
rf,Francesca Frelick,3,0,0,0,0,1,1,WASHINGTON
lf,Kamryn Jackson,2,1,0,0,0,2,2,WASHINGTON
ph,Kairi Rodriguez,1,0,0,0,0,0,0,WASHINGTON
3b,Ana Gold,3,1,1,0,0,0,0,WASHINGTON
cf,D'Auna Jennings,1,0,0,0,0,1,0,WASHINGTON
ss,Jada Baker,2,0,1,1,0,1,0,WASHINGTON
ph,Kristiana Watson,1,0,0,0,0,0,0,WASHINGTON
p,Jala Wright,0,0,0,0,0,0,0,WASHINGTON
p,Cassidy Curd,0,0,0,0,0,0,0,WASHINGTON
ss,Deja Davis,3,0,0,0,0,1,1,OKLAHOMA
2b,Aminah Vega,2,0,0,0,1,2,0,OKLAHOMA
1b,Gisele Tapia,3,0,0,0,0,2,0,OKLAHOMA
c,Kelly Torres,3,0,2,0,0,0,1,OKLAHOMA
3b,Ana Gold,2,0,0,0,0,1,1,OKLAHOMA
dh,Kairi Rodriguez,3,0,0,0,0,1,1,OKLAHOMA
p/lf,Claire Davidson,2,0,1,0,1,0,0,OKLAHOMA
rf,Francesca Frelick,2,0,0,0,0,1,1,OKLAHOMA
ph,Sarah Goddard,1,0,1,0,0,0,0,OKLAHOMA
ph,Kristiana Watson,0,0,0,0,0,0,0,OKLAHOMA
lf/cf,Kamryn Jackson,3,0,0,0,0,0,1,OKLAHOMA
cf,D'Auna Jennings,0,0,0,0,0,0,0,OKLAHOMA
p,Jala Wright,0,0,0,0,0,0,0,OKLAHOMA
dh,Deja Davis,3,3,3,0,0,0,0,SAN JOSE STATE
ph,Jala Wright,1,0,0,0,0,1,0,SAN JOSE STATE
2b,Aminah Vega,3,0,1,1,0,0,0,SAN JOSE STATE
ph,Francesca Frelick,1,0,0,0,0,1,0,SAN JOSE STATE
1b,Gisele Tapia,2,0,0,0,0,0,0,SAN JOSE STATE
ph/1b,Kristiana Watson,2,1,2,1,0,0,0,SAN JOSE STATE
c,Kairi Rodriguez,2,2,1,1,0,0,0,SAN JOSE STATE
ph,Kelly Torres,1,0,0,0,0,0,1,SAN JOSE STATE
3b,Ana Gold,2,2,1,1,1,0,0,SAN JOSE STATE
lf,Claire Davidson,2,1,2,2,1,0,0,SAN JOSE STATE
rf,Sarah Goddard,3,1,2,2,0,0,0,SAN JOSE STATE
cf,D'Auna Jennings,2,0,0,0,0,0,3,SAN JOSE STATE
ph,Kamryn Jackson,1,0,1,2,0,0,0,SAN JOSE STATE
ss,Jada Baker,3,1,1,0,0,0,1,SAN JOSE STATE
p,Cassidy Curd,0,0,0,0,0,0,0,SAN JOSE STATE
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,SAN JOSE STATE
p,Lillie Walker,0,0,0,0,0,0,0,SAN JOSE STATE
lf/dh,Deja Davis,5,2,2,1,0,0,1,LIBERTY
2b,Aminah Vega,5,1,2,2,0,1,3,LIBERTY
1b,Kristiana Watson,3,0,1,2,1,2,0,LIBERTY
ph/c,Francesca Frelick,1,0,1,0,0,0,0,LIBERTY
p,Claire Davidson,3,0,0,0,0,0,2,LIBERTY
p,Jala Wright,2,0,0,0,0,2,0,LIBERTY
dh/c,Kairi Rodriguez,4,1,0,0,0,1,2,LIBERTY
ph,Gisele Tapia,1,0,0,0,0,0,0,LIBERTY
3b,Ana Gold,4,1,2,1,0,0,1,LIBERTY
rf,Sarah Goddard,4,1,1,1,0,1,1,LIBERTY
c,Kelly Torres,1,0,0,0,0,0,0,LIBERTY
ph/lf,Kamryn Jackson,3,0,1,0,0,0,0,LIBERTY
cf,D'Auna Jennings,4,2,4,1,0,0,0,LIBERTY
ss,Jada Baker,0,0,0,0,0,0,0,LIBERTY
ss,Deja Davis,2,2,1,0,1,0,0,STANFORD
cf,D'Auna Jennings,3,0,1,0,0,0,0,STANFORD
2b,Aminah Vega,3,1,0,0,0,1,0,STANFORD
1b,Gisele Tapia,3,0,2,3,0,0,0,STANFORD
pr,Kelsey Zampa,0,1,0,0,0,0,0,STANFORD
c,Kelly Torres,3,0,1,0,0,0,1,STANFORD
3b,Ana Gold,2,0,0,0,0,0,0,STANFORD
dh,Claire Davidson,3,0,0,1,0,1,0,STANFORD
rf,Sarah Goddard,3,0,0,0,0,1,2,STANFORD
lf,Kamryn Jackson,2,0,0,0,0,1,1,STANFORD
p,Jala Wright,0,0,0,0,0,0,0,STANFORD
p,Cassidy Curd,0,0,0,0,0,0,0,STANFORD
dh,Deja Davis,4,0,1,0,0,1,1,ALABAMA
cf,D'Auna Jennings,3,0,0,0,0,0,1,ALABAMA
ph,Kristiana Watson,1,0,0,0,0,0,1,ALABAMA
1b,Gisele Tapia,3,0,1,0,0,0,0,ALABAMA
pr,Kelsey Zampa,0,1,0,0,0,0,0,ALABAMA
c,Kelly Torres,3,2,2,3,0,1,0,ALABAMA
2b,Aminah Vega,2,0,0,0,0,2,0,ALABAMA
